,plece,all,small,big
0,港北ＰＡ下り,1,1,2
1,港北ＰＡ上り,2,2,2
2,海老名ＳＡ上り,1,1,1
3,海老名ＳＡ下り,1,1,1
4,中井ＰＡ上り,1,1,2
5,中井ＰＡ下り,2,1,2
6,鮎沢ＰＡ下り,1,1,1
7,鮎沢ＰＡ上り,1,1,2
8,駒門ＰＡ上り,1,1,1
9,駒門ＰＡ下り,1,1,1
10,富士川ＳＡ上り,1,1,1
11,由比ＰＡ下り,1,1,1
12,由比ＰＡ上り,1,1,1
13,日本平ＰＡ上り,1,1,1
14,日本平ＰＡ下り,1,1,1
15,日本坂ＰＡ上り,1,1,1
16,日本坂ＰＡ下り,1,1,1
17,牧之原ＳＡ上り,1,1,1
18,小笠ＰＡ上り,1,1,1
19,小笠ＰＡ下り,1,1,1
20,三方原ＰＡ上り,2,2,2
21,三方原ＰＡ下り,2,2,2
22,新城ＰＡ上り,1,1,1
23,新城ＰＡ下り,1,1,1
24,豊橋ＰＡ下り,1,1,1
25,赤塚ＰＡ上り,1,1,1
26,赤塚ＰＡ下り,1,2,1
27,美合ＰＡ下り,1,1,1
28,美合ＰＡ上り,1,1,2
29,豊田上郷ＳＡ上り,1,1,1
30,豊田上郷ＳＡ下り,1,1,1
31,東郷ＰＡ上り,1,1,1
32,東郷ＰＡ下り,1,1,1
